time_s,V_exp,FDM,FVM-S0,FVM-S1,FVM-S2
0,4.18713283538818,4.18713730305416,4.18713730305416,4.18713730305416,4.18713730305416
1,4.04747819900513,4.04030869977658,4.04136703025211,4.0408290419706,4.04065084199752
2,4.0417857170105,4.03614422392826,4.03922726414564,4.03764665244185,4.03712797472321
3,4.03752136230469,4.03215210260285,4.03712941160739,4.03455379640091,4.03371731560886
4,4.03383588790894,4.0283242087914,4.03506907934785,4.03154556513149,4.03041345520062
5,4.0307788848877,4.02466153904316,4.03305122153617,4.02862632490816,4.02722020618851
6,4.02796792984009,4.02115559058467,4.0310714858458,4.02579106023876,4.02413195109143
7,4.02525758743286,4.0178027291286,4.0291305631949,4.02303971558755,4.02114798602849
8,4.02268981933594,4.01459824988387,4.02722817013208,4.0203711984939,4.01826653552399
9,4.0204029083252,4.01153775516603,4.02536439812532,4.01778473479032,4.01548611416071
10,4.01832628250122,4.00861527494046,4.02353779989376,4.01527795813861,4.01280362132991
11,4.01611232757568,4.00582662515057,4.02174871740479,4.01285024381667,4.01021768043489
12,4.0140700340271,4.00316276471618,4.01999262616964,4.010496055112,4.00772199015033
13,4.01223659515381,4.0006234959899,4.01827379510881,4.00821861685968,4.00531900508371
14,4.01048707962036,3.99820308394491,4.01659085921899,4.00601550244029,4.0030055296126
15,4.00871896743774,3.99589536968047,4.01494196293639,4.00388376794003,4.00077785180547
16,4.00712299346924,3.99369604556875,4.01332700658261,4.00182220349734,3.99863399853257
17,4.00540828704834,3.9916016453592,4.01174661138277,3.9998303095337,3.99657271689015
18,4.00379848480225,3.98960464698186,4.01019722578384,3.99790340155581,3.99458858017669
19,4.00241088867188,3.98770342043836,4.00868107696371,3.99604256873265,3.99268194982454
20,4.00093841552734,3.98589419450199,4.00719810188349,3.99424661157254,3.99085091597289
21,3.99950265884399,3.98416991147507,4.0057448210289,3.99251091299483,3.98909016871663
22,3.99807190895081,3.98253063015162,4.00432473401446,3.99083784067802,3.98740140296004
23,3.99668979644775,3.98097069809555,4.00293548743786,3.98922391653792,3.98578048879108
24,3.99539470672607,3.97948432868239,4.00157446347602,3.98766540326679,3.98422305789763
25,3.99417948722839,3.97807132480567,4.00024449771752,3.98616402865353,3.9827302297632
26,3.99305462837219,3.97672463736134,3.99894144041044,3.98471454701458,3.98129617323849
27,3.99172043800354,3.9754438767192,3.99766766505182,3.98331825208927,3.97992162039965
28,3.99055314064026,3.97422528229865,3.99642204167415,3.98197295177263,3.97860384139651
29,3.98944139480591,3.97306575200301,3.99520397231208,3.98067700367398,3.97734067974422
30,3.98833227157593,3.97196388038068,3.99401443245022,3.97943035818777,3.97613159538653
31,3.98719620704651,3.97091389251524,3.99284991262543,3.9782284985863,3.97497160411512
32,3.98610615730286,3.96991539687767,3.99171216884275,3.97707219403325,3.97386103069542
33,3.98493957519531,3.96896549045298,3.99060033417455,3.97595961291123,3.97279762199706
34,3.98389911651611,3.96806275406398,3.98951491939336,3.97489032422707,3.97178054791837
35,3.98278307914734,3.96720255285664,3.98845311947738,3.97386060250391,3.97080570542498
36,3.98199558258057,3.96638466505053,3.9874164409981,3.97287105635535,3.96987334674649
37,3.9808828830719,3.96560476529684,3.98640219346441,3.97191812015145,3.9689795705076
38,3.9800329208374,3.96486258088324,3.98541164792663,3.97100221384165,3.96812448105357
39,3.97904634475708,3.96415770025396,3.98444585008076,3.97012355650694,3.96730800126583
40,3.97804927825928,3.9634868975864,3.98350295153179,3.96927949643031,3.96652720176816
41,3.97705674171448,3.96284701943958,3.98258109745786,3.96846739814545,3.96577918736021
42,3.97633171081543,3.96223757772682,3.98168102031003,3.96768723698727,3.9650636910367
43,3.97530341148376,3.96165722460376,3.98080252227809,3.96693808192661,3.96437955609474
44,3.97453856468201,3.96110391794451,3.97994464614037,3.96621826596633,3.96372490575451
45,3.97353029251099,3.9605786654497,3.97910942012185,3.96552913038878,3.96310088656489
46,3.97269153594971,3.96007683078097,3.97829316761111,3.96486633417967,3.96250297731931
47,3.97195959091187,3.95959991513462,3.97749828933548,3.96423163610903,3.96193277044895
48,3.97113823890686,3.95914366971633,3.97672138165976,3.96362101310799,3.96138608988154
49,3.97030711174011,3.95870863897834,3.97596378180588,3.96303520513451,3.96086353518054
50,3.96947193145752,3.95829274715701,3.97522415756727,3.96247230450106,3.96036307022059
51,3.96868705749512,3.95789636365194,3.97450357503204,3.96193282279833,3.9598850893611
52,3.96795511245728,3.95751838767127,3.97380158636652,3.96141577808073,3.95942850400995
53,3.96719002723694,3.95715715166235,3.97311713485409,3.96091959994098,3.95899164727109
54,3.96630263328552,3.95681104276423,3.97244917693979,3.96044275177833,3.95857289580702
55,3.96554899215698,3.95648153797901,3.97179972096805,3.95998676812039,3.95817370633973
56,3.96493983268738,3.95616501713268,3.97116564384689,3.95954807135257,3.95779043200026
57,3.96418428421021,3.95586306340624,3.97054899187005,3.95912827170806,3.95742462172488
58,3.96346640586853,3.95557202950743,3.96994654767878,3.95872373491657,3.95707258767183
